eagle-fairing-decal-14093-84, EAGLE FAIRING DECAL  , FUEL TANK NAMEPLATE AND ADAPTER KITS Gives your fairing that custom look. Multi-colored. Made in the U.S.A. 14093-84 Black Background. $39.95 Eagle decal fits '13-earlier FL FLH and FLHT fairings., Harley Davidson,  , , , Title, Default Title, , , , , 14093-84, ,,,,,33.96,39.95
rear-master-cylinder-cover-chrome-46425-05A, REAR MASTER CYLINDER COVER CHROME  , Convert your Dyna model to touring-oriented footboardbased controls. Ideal for riders with an inseam too long for mid-controls or for riders who prefer the extra foot room on long rides this complete kit moves the foot brake and shift lever forward from the standard position. The installation places the rider into a comfortable upright posture with a flat foot and bent knee profile. This position provides additional support by allowing the legs to take some of the rider's weight while providing the freedom to reposition the feet during the ride. The kit includes left and right footboards with inserts footboard supports brake lever brake and shift linkage brake pedal pad and all required hardware. Installation reuses Original Equipment shift lever. Customize the look by adding your choice of accessory traditional D-shaped rider footboard inserts and large brake pedal pads. Avoid damaged boots and hours of cleaning melted rubber scuff marks from your exhaust shield. This Heel Guard mounts to the right-side rider footboard and protects your boot from contact with the hot exhaust shield. The subtle curved shape keeps the boot heel away without restricting fore-and-aft movement of the rider's foot. Kit includes chrome guard with cutaway Bar & Shield logo and all mounting hardware. RIDER FOOTBOARD KIT An easy way to add chrome to your bike with this chromeplated version of the stock master cylinder cover. Avoid damaged boots and hours of cleaning melted rubber scuff marks from your exhaust shield. This Heel Guard mounts to the right-side rider footboard and protects your boot from contact with the hot exhaust shield. The subtle curved shape keeps the boot heel away without restricting fore-and-aft movement of the rider's foot. Kit includes chrome guard with cutaway Bar & Shield logo and all mounting hardware. HEEL/TOE SHIFTER SHAFT COVER WITH INSERT Dress your foot controls in brilliant chrome. This kit replaces the black painted rear master cylinder with a polished and plated version manufactured from Original Equipment components for proper fit and function. The kit includes the mirror-finish master cylinder body matching chrome master cylinder cover and polished cover hardware. An easy way to add chrome to your bike is with this chromeplated version of the stock master cylinder cover. Give your left foot a little extra room. The Folding Heel Shifter permits the rider to move the rear shift peg out of the way when on the open road while retaining heel/toe shift functionality around town. Positive detent holds the peg in the selected position and can be adjusted while riding. Easy to install the replacement rear lever is chrome-plated and shaped to match the Original Equipment toe shift lever. Lever accepts stock or accessory shifter peg. HEEL/TOE SHIFTER SHAFT COVER Conceal the splined end of the shifter shaft when you remove the heel shift lever. The easy-to-install chrome-plated aluminum billet cap is held in place with a flush Allen screw for a clean look. An easy way to add chrome to your bike is with this chromeplated version of the stock master cylinder cover. FOLDING HEEL SHIFTER RETRACTED POSITION HEEL/TOE SHIFTER SHAFT COVER Dress your foot controls in brilliant chrome. This kit replaces the black painted rear master cylinder with a polished and plated version manufactured from Original Equipment components for proper fit and function. The kit includes the mirror-finish master cylinder body matching chrome master cylinder cover and polished cover hardware. EDGE CUT MASTER CYLINDER COVER 41700338 EDGE CUT MASTER CYLINDER COVER 41700334 EDGE CUT MASTER CYLINDER COVER 36700119 An easy way to add chrome to your bike is with this chromeplated version of the stock master cylinder cover., Harley Davidson,  , , , Title, Default Title, , , , , 46425-05A, ,,,,,33.96,39.95
rear-master-cylinder-cover-chrome-(46463-08-shown-46463-08, REAR MASTER CYLINDER COVER CHROME (46463-08 SHOWN , Give your left foot a little extra room. The Folding Heel Shifter permits the rider to move the rear shift peg out of the way when on the open road while retaining heel/toe shift functionality around town. Positive detent holds the peg in the selected position and can be adjusted while riding. Easy to install the replacement rear lever is chrome-plated and shaped to match the Original Equipment toe shift lever. Lever accepts stock or accessory shifter peg. HEEL/TOE SHIFTER SHAFT COVER Conceal the splined end of the shifter shaft when you remove the heel shift lever. The easy-to-install chrome-plated aluminum billet cap is held in place with a flush Allen screw for a clean look. An easy way to add chrome to your bike is with this chromeplated version of the stock master cylinder cover. FOLDING HEEL SHIFTER RETRACTED POSITION HEEL/TOE SHIFTER SHAFT COVER Dress your foot controls in brilliant chrome. This kit replaces the black painted rear master cylinder with a polished and plated version manufactured from Original Equipment components for proper fit and function. The kit includes the mirror-finish master cylinder body matching chrome master cylinder cover and polished cover hardware. EDGE CUT MASTER CYLINDER COVER 41700334 EDGE CUT MASTER CYLINDER COVER 36700119 An easy way to add chrome to your bike is with this chromeplated version of the stock master cylinder cover. Replace the Original Equipment 12-point zinc finish brake line hardware with brilliant chrome custom tapered banjo bolts. REAR MASTER CYLINDER COVER CHROME (46463-08 SHOWN), Harley Davidson,  , , , Title, Default Title, , , , , 46463-08, ,,,,,50.96,59.95
lower-fork-sliders-chrome-46477-00, LOWER FORK SLIDERS CHROME  , Competitively priced these chrome-plated Lower Fork Sliders give your bike up-front style. A perfect addition during the installation of Premium Ride Front Suspension components. To ensure proper fitment and function these sliders are manufactured from Original Equipment components. Form follows function with polished triple chrome-plating and a stamped Harley-Davidson logo for product identification. Includes right and left side sliders. The front forks on a Harley-Davidson motorcycle set the tone for the bike and can lead the way to a full-bore custom statement. So start customizing by adding chrome where it will have the most noticeable impact on the overall look of the bike the front end. A perfect addition during the installation of Premium Ride or Profile Low Front suspension components this kit includes components necessary to completely chrome the front forks and includes some or all of the following (Kit components vary depending on your model): Chrome Fork Sliders Oil Seals Chrome Fork Axle Retainer Nut Kit Chrome Fork Slider Drain Screw Kit Classic Chrome Front Axle Nut Cover Kit and Chrome Upper Fork Nut Covers. Chrome Front End Package price does not include labor or supplies. Competitively-priced these chrome-plated Lower Fork Sliders give your bike upfront style. To ensure proper fitment and function these sliders are manufactured from Original Equipment components. Form follows function with polished chrome-plating and a stamped Harley-Davidson logo for product identification. A perfect addition during the installation of Premium Ride or Profile Low Front suspension components this kit includes right and left sliders and the bottom axle retainer. '07-later model kits also include chrome drain screws axle retainer bolts and oil seals., Harley Davidson,  , , , Title, Default Title, , , , , 46477-00, ,,,,,382.46,449.95
lower-fork-sliders-chrome-46482-00, LOWER FORK SLIDERS CHROME  , The front forks on a Harley-Davidson motorcycle set the tone for the bike and can lead the way to a full-bore custom statement. So start customizing by adding chrome where it will have the most noticeable impact on the overall look of the bike the front end. A perfect addition during the installation of Premium Ride or Profile Low Front suspension components this kit includes components necessary to completely chrome the front forks and includes some or all of the following (Kit components vary depending on your model): Chrome Fork Sliders Oil Seals Chrome Fork Axle Retainer Nut Kit Chrome Fork Slider Drain Screw Kit Classic Chrome Front Axle Nut Cover Kit and Chrome Upper Fork Nut Covers. Chrome Front End Package price does not include labor or supplies. Competitively-priced these chrome-plated Lower Fork Sliders give your bike upfront style. To ensure proper fitment and function these sliders are manufactured from Original Equipment components. Form follows function with polished chrome-plating and a stamped Harley-Davidson logo for product identification. A perfect addition during the installation of Premium Ride or Profile Low Front suspension components this kit includes right and left sliders and the bottom axle retainer. '07-later model kits also include chrome drain screws axle retainer bolts and oil seals., Harley Davidson,  , , , Title, Default Title, , , , , 46482-00, ,,,,,382.46,449.95
lower-fork-sliders-gloss-black-46546-03, LOWER FORK SLIDERS GLOSS BLACK  , Competitively-priced these chrome-plated Lower Fork Sliders give your bike upfront style. To ensure proper fitment and function these sliders are manufactured from Original Equipment components. A perfect addition during the installation of Premium Ride or Profile Low Front suspension components the kit features polished triple chrome-plating and stamped Harley-Davidson logo. These gloss black coated sliders are the ultimate extension of your bike's dark side and make a perfect custom addition to your blacked-out ride. Manufactured to Original Equipment specifications the durable black coating is a great match to other H-D black components. A perfect addition during the installation of Premium Ride or Profile Low front suspension components this includes right and left sliders., Harley Davidson,  , , , Title, Default Title, , , , , 46546-03, ,,,,,382.46,449.95
rear-saddlebag-guards-gloss-black*-46548-03, REAR SADDLEBAG GUARDS GLOSS BLACK*  , REAR SADDLEBAG GUARD AND SUPPORT KIT GLOSS BLACK '14-LATER MODELS REAR SADDLEBAG GUARD AND SUPPORT KIT CHROME '09-'13 MODELS REAR SADDLEBAG GUARDS GLOSS BLACK* Add a sinister look to your ride. Designed to replace the Original Equipment chrome-plated guards featured on many Touring models the blacked-out finish minimizes the look without a reduction in protection., Harley Davidson,  , , , Title, Default Title, , , , , 46548-03, ,,,,,165.71,194.95
engine-guard-gloss-black*-46549-03, ENGINE GUARD GLOSS BLACK*  , ENGINE GUARD GLOSS BLACK* Protect your bike without sacrificing ground clearance or style. The one-piece engine guard is designed to complement the lines of the motorcycle and the black finish adds the perfect finishing touch. Before the tough black powder coat finish is applied these engine guards get an extra layer of protection from an E-Coat dip. So go on and install Engine Guard Mount Footpegs because this finish will go the distance., Harley Davidson,  , , , Title, Default Title, , , , , 46549-03, ,,,,,182.71,214.95
headlamp-trim-ring-gloss-black-46555-03B, HEADLAMP TRIM RING GLOSS BLACK  , ROAD GLIDE COMPARTMENT LINERS (58932-98 SHOWN) This chrome-plated Headlamp Trim Ring extends forward giving the headlamp assembly a frenched look reminiscent of classic hot rod car designs by recessing the headlamp and adding the appearance of depth. Functions as a direct replacement for the Original Equipment trim ring except when used with P/N 69627-99 where it easily installs over the Original Equipment trim ring. (Does not fit with Accessory Headlamp Visor or Passing Lamp Visor.) 1. 69627-99 7 Headlamp. $43.95 Fits '12-'16 FLD '94-later Road King '83-'13 Touring (except Tour GlideTM and Road Glide ) and '08-'13 Trike models. Also Fits '86-later FL Softail models with Freight Train Headlight Nacelle. (Does not fit with Fairing Bra P/N 57800-00.) 2. 69622-99B 4 Passing Lamp. $59.95 Fits '62-later models equipped with Original Equipment or accessory Auxiliary Lamp Kits. Sold in pairs. B. VISOR STYLE TRIM RING COLLECTION These chrome-plated Visor Style Trim Rings recess the headlamp into the housing and add a traditional eyebrow design to the headlamp shell. The trim ring stretches the profile of the bike for a long lean appearance. Add matching Visor Style Passing Lamp and Turn Signal Trim Rings for a true custom look. 1. 69733-05 7 Headlamp. $43.95 Fits '12-'16 FLD '94-later Road King '83-'13 Touring (except Tour Glide and Road Glide) and '08-'13 Trike models. Also fits '86-later FL Softail models with Freight Train Headlight Nacelle. (Does not fit with Fairing Bra P/N 57800-00.) 2. 69732-05 4 Passing Lamp. $59.95 Fits '62-later models equipped with Original Equipment or accessory Auxiliary Lamp Kits. Sold in pairs. C. HEADLAMP TRIM RINGS GLOSS BLACK Finish the Dark CustomTM look by replacing the Original Equipment chrome headlamp trim ring with sinister black. Easy to install the ring's rich black surface matches the stock headlamp shell finish for a unified look. 46555-03B 7 Headlamp. $39.95 Fits '94-later Touring (except Road Glide) and FLHTCUTG models. 67700117 4 Passing Lamp. $49.95 Fits '62-later models equipped with Original Equipment or accessory Auxiliary Lamp Kits. Sold in pairs. D. FRENCHED TRIM RING COLLECTION GLOSS BLACK This easy to install Headlamp Trim Ring extends forward giving the headlamp assembly a frenched look reminiscent of classic hot rod car designs by recessing the headlamp and adding the appearance of depth. Does not fit with accessory Headlamp Visors or Passing Lamp Visors. 61400294 7 Headlamp Gloss Black. $49.95 Fits '94-later Road King '14-later Electra Glide Street Glide Ultra Limited and Tri Glide models. 61400295 7 Headlamp Gloss Black. $49.95 Fits '12-'16 FLD '83-'13 Touring (except Tour Glide and Road Glide) '94-later Road King and '08-'13 Trike models. Also fits '86-later FL Softail models with Freight Train Headlight Nacelle. Does not fit with Fairing Bra P/N 57800-00. E. VISOR STYLE TRIM RING COLLECTION GLOSS BLACK These easy to install Visor Style Trim Rings recess the headlamp into the housing and add a traditional eyebrow design to the headlamp shell. The trim ring stretches the profile of the bike for a long lean appearance. 61400292 7 Headlamp Gloss Black. $49.95 Fits '94-later Road King '14-later Electra Glide Street Glide Ultra Limited and Tri Glide models. 61400293 7 Headlamp Gloss Black. $49.95 Fits '14-later Electra Glide Street Glide Ultra Limited and Tri Glide models. C. HEADLAMP TRIM RINGS GLOSS BLACK Sculpted machining sends reflections of light in all directions. This Headlamp Trim Ring features a rich black anodized finish that is machined to expose the highlights of raw aluminum. The contrasting cut-back look makes a powerful visual statement and works great with both traditional and contemporary customizing styles. Easy to install. HEADLAMP TRIM RING BURST COLLECTION (SHOWN WITH BURST AUXILIARY LAMP TRIM RINGS) Finish the Dark Custom look by replacing the Original Equipment chrome headlamp trim ring with sinister black. Easy to install the ring's rich black surface matches the stock headlamp shell finish for a unified look. 46555-03B 7 Headlamp. $39.95 Fits '94-later Touring (except Road Glide) and FLHTCUTG models. 67700115 7 Headlamp. $39.95 Fits '08-'17 FLS FLSS FLSTF FLSTFB FLSTFBS and FLSTN and '15-later FLRT models. 67700116 5-3/4 Headlamp. $34.95 Fits '05 VRSCB '06-'08 VRSCD '07-'11 VRSCDX '04-later XL883L XL883N XL883R XL1200R XL1200N XL1200T XL1200X '04-'11 XL883C XL1200C '16-later XL1200CX ' 93-'17 Dyna (except FLD and FXDF) and '11-'13 FXS and '13-'17 FXSB models. 67700117 4 Passing Lamp. $49.95 Fits '62-later models equipped with Original Equipment or accessory Auxiliary Lamp Kits. Sold in pairs. C. CONTOURED HEADLAMP TRIM RING Add an integrated look to your headlamp. The Contoured Headlamp Trim Ring introduced on the Screamin' Eagle Road King model is designed to visually reduce the space between the headlamp bulb and the headlamp housing for a sleek custom style. The bright chrome finish matches the headlamp housing for a factory original look., Harley Davidson,  , , , Title, Default Title, , , , , 46555-03B, ,,,,,37.36,43.95
outer-fairing-skirt-gloss-black-46559-03, OUTER FAIRING SKIRT GLOSS BLACK  , TIE-DOWN BRACKETS '14-LATER MODELS TIE-DOWN BRACKETS CHROME TIE-DOWN BRACKETS '95-'13 MODELS Add a sinister touch to your batwing fairing. This classic gloss black skirt replaces the Original Equipment chrome or colormatched trim below the headlamp. The black skirt visually slims the fairing and is the ideal finishing element on a blacked-out bike. Manufactured from Original Equipment components for superior fit and finish., Harley Davidson,  , , , Title, Default Title, , , , , 46559-03, ,,,,,50.96,59.95
lower-fork-sliders-chrome-46562-04A, LOWER FORK SLIDERS CHROME  , These gloss black coated sliders are the ultimate extension of your bike's dark side and make a perfect custom addition to your blacked-out ride. Manufactured to Original Equipment specifications the durable black coating is a great match to other H-D black components. Competitively priced these chrome-plated Lower Fork Sliders give your bike upfront style. Form follows function with polished triple chrome-plating and a stamped HarleyDavidson script logo for product identification. A perfect addition during the installation of Performance Front suspension components. To ensure proper fitment and function these sliders are manufactured from Original Equipment components., Harley Davidson,  , , , Title, Default Title, , , , , 46562-04A, ,,,,,365.46,429.95
saddlebag-support-kit-46565-04, SADDLEBAG SUPPORT KIT  , TWIN RAIL CHROME SADDLEBAG GUARD KIT '09-'13 MODELS Complete the stripped-down look by eliminating the rear saddlebag guards. This kit replaces the Original Equipment loop saddlebag guard and support with an inconspicuous bolt-on bar that supports the saddlebag for a clean custom appearance. Kit includes left and right support and all necessary mounting hardware., Harley Davidson,  , , , Title, Default Title, , , , , 46565-04, ,,,,,84.96,99.95
screamin'-eagle-fork-brace-46595-06A, SCREAMIN' EAGLE FORK BRACE  , BILLET HEADLAMP SHELL (SHOWN WITH INSTALLATION BRACKET AND TURN SIGNAL RELOCATION KIT) Styled to blend with the lower triple clamp. This chrome-plated Turn Signal Relocation Kit moves the Original Equipment bullet-style turn signals from the handlebar to the front fork for a clean streamlined look. Kit includes left and right mounting stalk and all required hardware. SCREAMIN' EAGLE FORK BRACE These chrome fork braces are machined from billet aluminum then polished and chrome-plated to complement the curve of the front fender. The machined Screamin' Eagle logo finishes the look with crisp detail. Easy-to-install these braces offer increased torsional rigidity. Does not fit with Fluted Fork Slider Dust Covers. Highlighted with a unique Bar & Shield logo these easy-toinstall billet-look covers hide the Original Equipment fork and steering stem hex-head hardware and add a clean custom touch to the top of the triple tree. Available in your choice of chrome or gloss black finish the kit comes complete with three covers and mounting hardware. 45800015 Gloss Black. $59.95 Fits '06-'17 Dyna models (except FLD FXDB and FXDSE). 46109-06 Chrome. $59.95 Fits '06-'17 Dyna models (except FLD FXDB and FXDSE). 46129-98B Chrome. $59.95 Fits '88-'13 XL (except XL883C XL1200C and XL1200S) '95'05 FXD '93-'05 FXDL '16-'17 FXDLS '94-'05 FXDS-CONV and '90-'17 FLS FLSS FLSTF FLSTFB FLSTFBS and FLSTN and '86-'17 FLSTC models. B. BRASS COLLECTION UPPER FORK STEM COVERS The ideal addition to your stripped down bobber or caf bike build these easy-to-install solid brass covers hide the Original Equipment fork and steering stem hex-head hardware and add a clean custom touch. Artistically manufactured from solid brass these Upper Fork Covers feature a natural antique finish that will age and patina when exposed to the elements. Kits includes mounting hardware. 45500308 Three-Piece Kit. $79.95 Fits '88-'13 XL (except XL883C XL1200C and XL1200S) '95'05 FXD '93-'05 FXDL '94-'05 FXDS-Conv and '90-'17 FLS FLSS FLSTF FLSTFB FLSTFBS and FLSTN and '86-'17 FLSTC models. C. BILLET FORK SLIDER DUST COVERS Oversized billet covers are designed to replace the Original Equipment dust caps creating a big beefy look to the front forks. Available in your choice of mirror chrome or gloss black finish these covers are the perfect addition to matching accessory fork sliders and upper fork nut covers. FORK AXLE RETAINER NUT KIT CHROME FORK SLIDER DRAIN SCREW KIT CHROME There's always more room for chrome with these highlypolished chrome wheel spacers. They are manufactured to the Original Equipment tolerances so you get exact product fitment and quality. 41597-00 Straight. $29.95 Fits '00-'05 FXDWG and '00-'06 FXST FXSTB and FXSTD models. Also fits models equipped with Inverted Front Fork Kit and .75 Axle Kit P/N 42134-06 or Billet Fork Sliders P/N 46280-03. Does not fit '03-'04 FXSTDSE. G. FRONT FENDER HARDWARE KIT CHROME Finish the show-winning look with brilliant chrome hardware. Manufactured to Original Equipment specifications this kit replaces the zinc-plated exposed front fender mounting bolts with chrome-plated socket head cap screws. SCREAMIN' EAGLE FORK BRACE These chrome Fork Braces are machined from billet aluminum then polished and chrome-plated to complement the curve of the front fender. The machined Screamin' Eagle logo finishes the look with crisp detail. Easy to install these braces offer increased torsional rigidity. F. FRONT WHEEL SPACERS CHROME STRAIGHT G. FRONT FENDER HARDWARE KIT CHROME, Harley Davidson,  , , , Title, Default Title, , , , , 46595-06A, ,,,,,186.96,219.95
upper-fork-nut-covers-46634-06, UPPER FORK NUT COVERS  , Highlighted with a unique Bar & Shield logo these easy-toinstall billet-look covers hide the Original Equipment fork and steering stem hex-head hardware and add a clean custom touch to the top of the triple tree. Available in your choice of chrome or gloss black finish the kit comes complete with three covers and mounting hardware. 45800015 Gloss Black. $59.95 Fits '06-'17 Dyna models (except FLD FXDB and FXDSE). 46109-06 Chrome. $59.95 Fits '06-'17 Dyna models (except FLD FXDB and FXDSE). 46129-98B Chrome. $59.95 Fits '88-'13 XL (except XL883C XL1200C and XL1200S) '95'05 FXD '93-'05 FXDL '16-'17 FXDLS '94-'05 FXDS-CONV and '90-'17 FLS FLSS FLSTF FLSTFB FLSTFBS and FLSTN and '86-'17 FLSTC models. B. BRASS COLLECTION UPPER FORK STEM COVERS The ideal addition to your stripped down bobber or caf bike build these easy-to-install solid brass covers hide the Original Equipment fork and steering stem hex-head hardware and add a clean custom touch. Artistically manufactured from solid brass these Upper Fork Covers feature a natural antique finish that will age and patina when exposed to the elements. Kits includes mounting hardware. 45500308 Three-Piece Kit. $79.95 Fits '88-'13 XL (except XL883C XL1200C and XL1200S) '95'05 FXD '93-'05 FXDL '94-'05 FXDS-Conv and '90-'17 FLS FLSS FLSTF FLSTFB FLSTFBS and FLSTN and '86-'17 FLSTC models. C. BILLET FORK SLIDER DUST COVERS Oversized billet covers are designed to replace the Original Equipment dust caps creating a big beefy look to the front forks. Available in your choice of mirror chrome or gloss black finish these covers are the perfect addition to matching accessory fork sliders and upper fork nut covers., Harley Davidson,  , , , Title, Default Title, , , , , 46634-06, ,,,,,,
brake-rotor-hardware-kit-chrome-(46646-05-shown-46646-05, BRAKE ROTOR HARDWARE KIT CHROME (46646-05 SHOWN , POLISHED FLOATING BRAKE ROTORS TEARDROP DECORATIVE WHEEL WEIGHTS BAR & SHIELD Calibrate your wheel balance with a touch of class with these uniquely designed wheel weights. Adhesive backing for easy installation. 95615-04 .5 oz. $2.95 Fits Original Equipment and accessory wheel rims. B. BRAKE ROTOR HARDWARE KIT CHROME It's the details like this chrome hardware kit that really get your bike noticed. This hardware adds a unique chrome-plated finish to the Original Equipment or accessory floating brake rotors. Kit includes 5 chrome-plated bolts manufactured to factory specifications to ensure fit and performance. 91800029 Shoulder Bolt Front. $29.95 Fits '02-later models equipped with Open Brake Rotor P/N 44343-01 44553-06A 41500012A 41500040 or 41500042. 41500095 Button Head Front. $39.95 Fits '09-later Touring models equipped with Enforcer or Impeller Wheels. 46646-05 Button Head Front. $13.95 Fits '90-later models (except VRSCTM FXSB FXSE '14-later Touring and Trike and models equipped with Open Brake Rotor P/N 44343-01 44553-06A 41500012 41500040 or 41500042). 46647-05 Button Head Rear. $13.95 Fits '92-later models (except Trike). C. SPROCKET HARDWARE CHROME HEX HEAD This kit includes highly-polished chrome-plated grade 8 hexhead screws with chrome-plated washers providing an extra custom accent. The perfect addition to the chrome sprocket. Made from the same Original Equipment bolts to ensure product integrity. Also works with chrome belt sprocket covers and Original Equipment sprockets. CHROME-PLATED BRASS VALVE STEM CAPS The beauty of chrome with the durability of machined brass featuring a laser-etched Bar & Shield logo painted black. Available with a traditional unique fluted or rugged acorn shaped cylinder. Will not seize on valve stems and includes O-rings for reliable seal. Sold in pairs. BRAKE ROTOR HARDWARE KIT CHROME (46646-05 SHOWN), Harley Davidson,  , , , Title, Default Title, , , , , 46646-05, ,,,,,2.51,2.95
decorative-wheel-weights-bar-&-shield-46647-05, DECORATIVE WHEEL WEIGHTS BAR & SHIELD  , POLISHED FLOATING BRAKE ROTORS TEARDROP DECORATIVE WHEEL WEIGHTS BAR & SHIELD Calibrate your wheel balance with a touch of class with these uniquely designed wheel weights. Adhesive backing for easy installation. 95615-04 .5 oz. $2.95 Fits Original Equipment and accessory wheel rims. B. BRAKE ROTOR HARDWARE KIT CHROME It's the details like this chrome hardware kit that really get your bike noticed. This hardware adds a unique chrome-plated finish to the Original Equipment or accessory floating brake rotors. Kit includes 5 chrome-plated bolts manufactured to factory specifications to ensure fit and performance. 91800029 Shoulder Bolt Front. $29.95 Fits '02-later models equipped with Open Brake Rotor P/N 44343-01 44553-06A 41500012A 41500040 or 41500042. 41500095 Button Head Front. $39.95 Fits '09-later Touring models equipped with Enforcer or Impeller Wheels. 46646-05 Button Head Front. $13.95 Fits '90-later models (except VRSCTM FXSB FXSE '14-later Touring and Trike and models equipped with Open Brake Rotor P/N 44343-01 44553-06A 41500012 41500040 or 41500042). 46647-05 Button Head Rear. $13.95 Fits '92-later models (except Trike). C. SPROCKET HARDWARE CHROME HEX HEAD This kit includes highly-polished chrome-plated grade 8 hexhead screws with chrome-plated washers providing an extra custom accent. The perfect addition to the chrome sprocket. Made from the same Original Equipment bolts to ensure product integrity. Also works with chrome belt sprocket covers and Original Equipment sprockets., Harley Davidson,  , , , Title, Default Title, , , , , 46647-05, ,,,,,2.51,2.95
diamond-black-hand-grips-b.-diamond-black-footpegs-and-shifter-peg-46718-08, DIAMOND BLACK HAND GRIPS B. DIAMOND BLACK FOOTPEGS AND SHIFTER PEG  , DIAMOND BLACK HAND GRIPS B. DIAMOND BLACK FOOTPEGS AND SHIFTER PEG The slim footpeg design allows a comfortable pivot point and the wide surface and large diameter end cap keep your boot in place. 1. 50113-10 Footpegs Large Diameter. $89.95 Fits models with H-D male mount-style footpeg supports (except the rider position on '15-later XG '07-'10 XL883L '07later XL883N XL1200N XL1200T XL1200V and XL1200X '11-later XL1200C '16-later XL1200CX '17-later XL1200CP and XL1200CA '08-'13 XR and '08-'17 FXCW FXCWC FXS FXSB FXSBSE FXSE and the rider and passenger position on '18-later Softail models). 2. 50911-08A Footpegs Small Diameter. $84.95 Fits models with H-D male mount-style footpeg supports (except the rider position on '17-later XG750A '07-'10 XL883L '07-later XL883N XL1200N XL1200T XL1200V and XL1200X '11-later XL1200C '16-later XL1200CX '17-later XL1200CP and XL1200CA '08-'13 XR and '08-'17 FXCW FXCWC FXS FXSB FXSBSE and FXSE and the rider and passenger position on '18-later Softail models). 3. 50695-08A Footpegs with Wear Peg. $89.95 Fits '17-later XG750A '07-'10 XL883L '07-later XL883N XL1200N XL1200T and XL1200CA and '08-'13 XR models. 4. 50500035 Footpegs with Styled Wear Peg. $89.95 Fits '11-later XL883L and XL1200C '16-later XL1200CX '12-'16 XL1200V '10-later XL1200X '14-later XL models equipped with Extended Reach Forward Control Conversion Kit P/N 50700030 '08-'11 FXCW and FXCWC '11-'17 FXS and FXSB and '16-'17 FXSE models. 5. 34690-08 Shifter Peg. $29.95 Fits all models (except '06-'17 VRSC models with forward controls and '08-'13 XR). C. DIAMOND BLACK BRAKE PEDAL PADS Available in two sizes these brake pedal pads complete the clean custom black billet look. 41850-08 Small. $44.95 Fits '15-later XG models (except XG750A) '14-later XL models with Extended Reach Forward Control Kit P/N 50700030 '93-'17 Dyna models with forward controls and '84-'17 FX Softail models (except FXSTDSE). 46718-08 Large. $49.95 Fits '12-'16 FLD '86-'17 FL Softail and '80-later Touring and Trike models. D. DIAMOND BLACK FOOTBOARD INSERT KIT Machined from billet aluminum these footboard inserts retain the cast-in vibration isolation found on the Original Equipment footboards. Kit includes right and left insert. 50549-08 Rider Traditional Shape. $199.95 Fits models with traditional-shaped rider footboards. Does not fit '18-later Softail models. 50627-08 Passenger Traditional Shape. $179.95 Fits models equipped with traditional-shaped passenger footboards. Does not fit '18-later Softail models. Model Family Fitment: V-ROD SOFTAIL SPORTSTER TOURING D. DIAMOND BLACK RIDER FOOTBOARD INSERT KIT TRADITIONAL SHAPE (SHOWN WITH BRAKE PEDAL PAD) D. DIAMOND BLACK PASSENGER FOOTBOARD INSERT KIT TRADITIONAL SHAPE DYNA, Harley Davidson,  , , , Title, Default Title, , , , , 46718-08, ,,,,,76.46,89.95
