Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code
fuel-tank-nameplate-and-adapter-kits-14093-84, FUEL TANK NAMEPLATE AND ADAPTER KITS , FUEL TANK NAMEPLATE AND ADAPTER KITS Adapter Kit for P/N 61771-66TB 61741-93T $23.95 Fits Fat Bob fuel tanks (except '08-later Touring and Trike models). Adapter Kit for P/N 61814-55T 61840-94T $23.95 Fits Fat Bob fuel tanks (except '08-later Touring and Trike models). Gives your fairing that custom look. Multi-colored. Made in the U.S.A. 14093-84 Black Background. $39.95 Eagle decal fits '13-earlier FL FLH and FLHT fairings., Harley Davidson,  , , , Title, Default Title, , , , , 14093-84, ,,,,,33.96,39.95
handlebar-clock-1.5-silver/chrome-75115-06, HANDLEBAR CLOCK 1.5 SILVER/CHROME , Designed to mount to the Brake Master Cylinder Clamp this polished stainless steel temperature gauge will keep you in touch with the outside air temperature. Styled to match the Original Equipment gauge design and the Clutch Lever Bracket Clamp Clock the thermometer is available with black or silver face. This waterproof gauge is simple to install. Kit includes clutch lever mounting bracket but if you need to mount the clock on another area of the handlebar select from the available Handlebar Clock Mount Clamps (sold separately). Fits all models (except '15-later XG). Not for use with Auxiliary Accessory Switch Housing Kits., Harley Davidson,  , , , Title, Default Title, , , , , 75115-06, ,,,,,59.46,69.95
audio-&-gauges-75133-99, AUDIO & GAUGES , Speedo/Tach Cluster MPH. $299.95 Speedo/Tach Cluster km/h. $299.95 Speedo/Tach Cluster MPH/km/h. $299.95 Fuel Gauge. $99.95 Voltmeter. $99.95 Oil Pressure Gauges Keep an eye on your engine's vital signs. This Oil Pressure Gauge features a brilliant blue easy-to-read digital display that shines through a mirror-coated glass when the ignition is turned on. The readout is invisible when not in use. A photocell automatically adjusts the display's brightness to improve visibility in direct sunlight or to dim the display at night to avoid distraction. The display can be toggled between PSI and BAR pressure readings. Kit includes die-cast mounting bracket with gauge pressure sensor and wiring harness. Check your oil pressure at a glance with this oil-filled Pressure Gauge Kit specifically designed to look good fit right and perform properly on your Twin Cam-equipped motorcycle. The custom mounting brackets have been polished and chrome-plated to rigid Harley-Davidson standards and the gauge offers premium reliability. The kit includes all necessary hardware and mounting brackets for quick and clean installation., Harley Davidson,  , , , Title, Default Title, , , , , 75133-99, ,,,,,84.96,99.95
tire-pressure-gauge-and-fill-valve-75137-98, TIRE PRESSURE GAUGE AND FILL VALVE , COMPACT AIR COMPRESSOR WITH LIGHT Notice: The prices appearing in this catalog are the manufacturer's suggested retail prices. Actual retail prices may vary. VALVE STEM EXTENSION Tire Gauges Combination dial air pressure and tread depth gauge provides easy access to the valve stem. A durable internal diaphragm provides accurate air pressure readings with a dual range indicator for 0-60 psi and 0-400 kPa readings. The pressure relief valve is activated by a push button to eliminate inner gauge air pressure after use. The integrated tire tread depth gauge features a dual-range color-coded indicator calibrated in 1/32 (0-14/32) and millimeters (0-11mm) for monitoring tread wear. A protective rubber boot covers the housing to protect the gauge from impact and abrasion. 75008-02A Compact. $34.95, Harley Davidson,  , , , Title, Default Title, , , , , 75137-98, ,,,,,35.66,41.95
h-d-detachables-quarter-fairing-kit-vivid-black-75138-09, H-D DETACHABLES QUARTER FAIRING KIT VIVID BLACK , H-D DETACHABLES QUARTER FAIRING KIT VIVID BLACK HEADLAMP VISOR KIT (FXST/C AND FXDWG) VIVID BLACK Primed. Vivid Black. Primed. MID-FRAME AIR DEFLECTOR Improve rider comfort during the summer riding season. Designed for severe duty and extreme temperature applications these inconspicuous black deflectors attach to the frame and surround the top of the rear cylinder head. The scoop shape captures the moving air and uses the flow to direct the heat down and away from the rider to improve comfort. Kit includes all required mounting hardware. DYNA AUDIO & GAUGES Speedo/Tach Cluster MPH. $299.95 Speedo/Tach Cluster km/h. $299.95 Speedo/Tach Cluster MPH/km/h. $299.95 Fuel Gauge. $99.95 Voltmeter. $99.95 Oil Pressure Gauges Keep an eye on your engine's vital signs. This Oil Pressure Gauge features a brilliant blue easy-to-read digital display that shines through a mirror-coated glass when the ignition is turned on. The readout is invisible when not in use. A photocell automatically adjusts the display's brightness to improve visibility in direct sunlight or to dim the display at night to avoid distraction. The display can be toggled between PSI and BAR pressure readings. Kit includes die-cast mounting bracket with gauge pressure sensor and wiring harness., Harley Davidson,  , , , Title, Default Title, , , , , 75138-09, ,,,,,76.46,89.95
h-d-detachables-quarter-fairing-kit-vivid-black-75340-09, H-D DETACHABLES QUARTER FAIRING KIT VIVID BLACK , H-D DETACHABLES QUARTER FAIRING KIT VIVID BLACK HEADLAMP VISOR KIT (FXST/C AND FXDWG) VIVID BLACK Primed. Vivid Black. Primed. MID-FRAME AIR DEFLECTOR Improve rider comfort during the summer riding season. Designed for severe duty and extreme temperature applications these inconspicuous black deflectors attach to the frame and surround the top of the rear cylinder head. The scoop shape captures the moving air and uses the flow to direct the heat down and away from the rider to improve comfort. Kit includes all required mounting hardware., Harley Davidson,  , , , Title, Default Title, , , , , 75340-09, ,,,,,76.46,89.95
hidden-am/fm/wb-antenna-76251-98, HIDDEN AM/FM/WB ANTENNA , SHORTY CB ANTENNA (SHOWN WITH SHORTY AM/FM ANTENNA) Reception Comparison FM Relative Performance This compact antenna is only 19.0 tall and is a stylish change from the Original Equipment whip antenna. The low-profile antenna simplifies covering the bike for storage. Easy to install the Shorty Antenna screws on to the factory antenna mount. 76386-09A CB Radio. $29.95 Fits '09-later Touring and Trike models equipped with Biketo-Bike Communication. May require model-specific mounting bracket if installed on a model without a Tour-Pak carrier. 76386-08 CB Radio. $29.95 Fits '98-'08 Touring models equipped with Bike-to-Bike Communication. May require model-specific mounting bracket if installed on a model without a Tour-Pak carrier. 76388-08 AM/FM. $29.95 Fits '98-later Touring and Trike models equipped with radio. C. AM/FM ANTENNA KIT TOUR-PAK MOUNT The AM/FM Antenna Kit mounts an antenna on a TourPak luggage system. Kit includes Original Equipment style Fiberglass AM/FM Antenna P/N 76503-08 all necessary mounting brackets cable hardware and instructions. Fits all Tour-Pak luggage systems., Harley Davidson,  , , , Title, Default Title, , , , , 76251-98, ,,,,,42.46,49.95
boom!-audio-premium-half-helmet-music-&-communications-headset-76312-98, BOOM! AUDIO PREMIUM HALF HELMET MUSIC & COMMUNICATIONS HEADSET , BOOM! AUDIO PREMIUM HALF HELMET MUSIC & COMMUNICATIONS HEADSET BOOM! AUDIO FULL HELMET PREMIUM MUSIC AND COMMUNICATIONS HEADSET Extended Headset Cord is an essential option for a tall rider or passenger. When compared to the stock headset cord this cord provides five additional inches of length at rest and up to 22 additional inches of length when fully stretched. The additional length and relaxed twist of the cord reduces the spring effect and the included clothing clip eliminates the tension that can lead to neck fatigue. The 7-pin DIN plug can be connected to the front and rear communications ports giving both rider and passenger access to the music navigation and voice communications features of your motorcycle. This cord is a direct plug-in replacement for the standard length headset cord on the Original Equipment headset or the Boom! Audio Full Face Helmet Communications Headset P/N 77117-10. HAND-HELD CB MICROPHONE KIT Comes complete with handlebar mounting bracket and all necessary hardware., Harley Davidson,  , , , Title, Default Title, , , , , 76312-98, ,,,,,84.96,99.95
dyna-76316-06, DYNA , Boom!TM Audio '06-'13 Touring Available exclusively for models equipped with the HarleyDavidson Advanced Audio System by Harman/Kardon. The iPod interface allows you to access your iPod playlists artists songs and albums while you keep your hands on the handlebar. At the touch of your fingertips you can use the factory audio hand controls to scan through the iPod menus and view the selections on the radio face. The module mounts directly to the radio and is concealed inside the fairing for a clean look. Just plug in your iPod nano iPod Touch or iPhone and hit the road. Kit includes a powered iPod cable that charges your player when it is connected to the system and the bike is turned on. The iPod can be remotely stored in the saddlebag with the separate purchase of Saddlebag iPod Holder P/N 76000143. IPOD INTERFACE SIRIUSXM SATELLITE RADIO KIT* Don't lose the radio reception in the middle of your favorite song. SiriusXM Satellite Radio allows you to listen to the same channel as you cross the country. With over 170 digital channels you'll always find a program that satisfies your taste for music news entertainment and sports. Your radio display provides information regarding artist name song title and channel information so you will always know what program you are listening to. 15 channel presets allow you to quickly access your favorite programming. Activation and monthly subscription service required with additional fee., Harley Davidson,  , , , Title, Default Title, , , , , 76316-06, ,,,,,424.96,499.95
rear-saddlebag-guards-chrome*-76321-09, REAR SADDLEBAG GUARDS CHROME*  , REAR SADDLEBAG GUARDS CHROME* Saddlebag guards provide a style borrowed from the past that makes a unique statement here and now. Includes mounting hardware and instructions. Also available: SADDLEBAG BRACKET RELOCATION KIT (not shown) Required for installation of FLSTS Rear Saddlebag Guards P/N 49258-00A and FLSTC Rear Saddlebag Guard P/N 49261-00. WHISKERS ADJUSTABLE HIGHWAY BAR* Stretch your legs and change riding position while you rack up the miles. Frame-mounted bar can be pivoted fore and aft to accommodate your inseam length and locks in place with a common Allen wrench. The easy-to-install bar features a three-point mounting system that grips both down tubes. Highway Bar accepts your choice of H-D style male-mount footpegs (sold separately). Available in mirror chrome or gloss black finish. Fits '00-'17 Softail models (except FXCW FXCWC FXS FXSB FXSBSE and FXSE) without ABS. Also fits '14-'15 FLSTNSE when Original Equipment engine guard is removed. Does not fit with Boom!TM Audio Cruiser Amp and Speaker Kit P/N 76262-08A 76320-08A 76321-09A Heel Raiser Footpeg Kit P/N 50178-09 or Mini Footboard Kits P/N 50500109 50500124 50500139 50500144 or 50451-09. Gear Indicator & Gauges Add a touch of luxury and style to your dash. First featured on the '04 Screamin' Eagle DeuceTM and Electra Glide motorcycles these spun aluminum metal-faced gauges offer a rich contrast to a chrome console or black inner fairing surface. The gauges feature subtle Harley-Davidson racing orange backlighting for a unique nighttime look. Mileage reinstatement is available through your Dealer. Fits '04-'06 FXDWG '06 FXD35 `07 FXDC and '04-'06 Softail and Road King models. What gear am I in right now? Eliminate the guesswork with a Digital Gear Indicator. Conveniently located on the handlebar for line-of-sight viewing the bright LED display is easy to read with a quick glance. When the clutch is out the display indicates the current gear 1-6 or a large N when the transmission is in the neutral position. Easy to install this plug & play Gear Indicator requires no wire splicing or complicated programming. A built-in photocell automatically adjusts the display for improved visibility in direct sunlight and dims the display at night to reduce distraction. Available in satin black finish. The complete kit includes a self-contained LED and control module control housing wiring harness and required mounting hardware. Switch housing can accept one additional auxiliary switch (sold separately). 70900078 Satin Black. $219.95 Fits '07-'17 VRSCTM (except VRSCF) '07-'13 XL and XR '07-'11 Dyna '07-'10 Softail and '07-'13 Touring models. '07-'08 XL1200 models require update calibration. Does not fit XL883 models equipped with Screamin' Eagle 1200CC Stage I Conversion Kits P/N 29784-07 and 30003-10. Also does not fit with Boom!TM Audio Cruiser Amp and Speaker Kits P/N 76262-08A 76320-08A or 76321-09A. C. TACH KIT FOR SPORTSTER MODELS Upgrade your XL883 to dual instruments. The kit includes an electronic tachometer wrinkle-black dual gauge mounting bracket and hardware required for installation. Tachometer graphics complement Original Equipment speedometer and brackets allow for installation of your stock indicator lights., Harley Davidson,  , , , Title, Default Title, , , , , 76321-09, ,,,,,186.96,219.95
hidden-am/fm/wb-antenna-76386-08, HIDDEN AM/FM/WB ANTENNA , HIDDEN AM/FM/WB ANTENNA SHORTY CB ANTENNA (SHOWN WITH SHORTY AM/FM ANTENNA) Reception Comparison FM Relative Performance This compact antenna is only 19.0 tall and is a stylish change from the Original Equipment whip antenna. The low-profile antenna simplifies covering the bike for storage. Easy to install the Shorty Antenna screws on to the factory antenna mount. 76386-09A CB Radio. $29.95 Fits '09-later Touring and Trike models equipped with Biketo-Bike Communication. May require model-specific mounting bracket if installed on a model without a Tour-Pak carrier. 76386-08 CB Radio. $29.95 Fits '98-'08 Touring models equipped with Bike-to-Bike Communication. May require model-specific mounting bracket if installed on a model without a Tour-Pak carrier. 76388-08 AM/FM. $29.95 Fits '98-later Touring and Trike models equipped with radio. C. AM/FM ANTENNA KIT TOUR-PAK MOUNT The AM/FM Antenna Kit mounts an antenna on a TourPak luggage system. Kit includes Original Equipment style Fiberglass AM/FM Antenna P/N 76503-08 all necessary mounting brackets cable hardware and instructions. Fits all Tour-Pak luggage systems., Harley Davidson,  , , , Title, Default Title, , , , , 76386-08, ,,,,,25.46,29.95
hidden-am/fm/wb-antenna-76388-08, HIDDEN AM/FM/WB ANTENNA , HIDDEN AM/FM/WB ANTENNA SHORTY CB ANTENNA (SHOWN WITH SHORTY AM/FM ANTENNA) Reception Comparison FM Relative Performance This compact antenna is only 19.0 tall and is a stylish change from the Original Equipment whip antenna. The low-profile antenna simplifies covering the bike for storage. Easy to install the Shorty Antenna screws on to the factory antenna mount. 76386-09A CB Radio. $29.95 Fits '09-later Touring and Trike models equipped with Biketo-Bike Communication. May require model-specific mounting bracket if installed on a model without a Tour-Pak carrier. 76386-08 CB Radio. $29.95 Fits '98-'08 Touring models equipped with Bike-to-Bike Communication. May require model-specific mounting bracket if installed on a model without a Tour-Pak carrier. 76388-08 AM/FM. $29.95 Fits '98-later Touring and Trike models equipped with radio. C. AM/FM ANTENNA KIT TOUR-PAK MOUNT The AM/FM Antenna Kit mounts an antenna on a TourPak luggage system. Kit includes Original Equipment style Fiberglass AM/FM Antenna P/N 76503-08 all necessary mounting brackets cable hardware and instructions. Fits all Tour-Pak luggage systems., Harley Davidson,  , , , Title, Default Title, , , , , 76388-08, ,,,,,25.46,29.95
antenna-performance-comparison-comparison-measured-on-'06-'13-models-with-advanced-audio-am/fm/wb-radio-76400-09, ANTENNA PERFORMANCE COMPARISON COMPARISON MEASURED ON '06-'13 MODELS WITH ADVANCED AUDIO AM/FM/WB RADIO , ANTENNA PERFORMANCE COMPARISON COMPARISON MEASURED ON '06-'13 MODELS WITH ADVANCED AUDIO AM/FM/WB RADIO CB ANTENNA KIT TOUR-PAK MOUNT The CB Antenna Kit mounts an antenna on a Tour-Pak luggage system. Kit includes Original Equipment style CB antenna all necessary mounting brackets cable hardware and instructions. Fits all Tour-Pak luggage systems., Harley Davidson,  , , , Title, Default Title, , , , , 76400-09, ,,,,,76.46,89.95
boom!-audio-premium-sound-options-76404-06, BOOM! AUDIO PREMIUM SOUND OPTIONS , BOOM! AUDIO PREMIUM SOUND OPTIONS The Boom!TM Audio system is an exciting collection of audio and information components that turn your 2006 2013 Touring motorcycle into a rolling infotainment center. Designed for ease of use this line of premium speakers amplifiers and audio upgrades integrate with the factory-installed radio and hand controls for seamless operation. See the table below to view the Boom! Audio options. Your Dealer will be happy to recommend system-matched components for your model and provide the installation expertise that your Harley motorcycle deserves. For the latest information visit h-d.com/boomaudio. TM Part Number Description FLHT (with Radio) FLHT (with Radio & Tour-Pak) FLHX FLHX (with Tour-Pak) FLHTC FLHTCU FLHTK N/A NO FIT OK NO FIT OK N/A 76000263 STOCK 76000263 OK NO FIT OK OK 70172-06 STOCK STOCK N/A N/A STOCK Part Number Description FLTR FLTR (with Tour-Pak) FLTRX FLTRX (with Tour-Pak) FLTRU FLHXXX FLHTCUTG Boom!TM Audio '06-'13 Touring CVOTM STREET GLIDE Part Number Description CVO 2010 FLHXSE CVO 2011 FLHXSE2 CVO 2012 FLHXSE3 CVO ELECTRA GLIDE ULTRA CVO '06-'10 FLHTCUSE CVO 2011 FLHTCUSE6 CVO 2012 FLHTCUSE7 CVO 2013 FLHTCUSE8 NO FIT NO FIT STOCK NO FIT STOCK NO FIT STOCK 76000263 OK NO FIT STOCK STOCK STOCK STOCK STOCK NO FIT NO FIT STOCK 76000263 CVO ROAD GLIDE Part Number Description CVO 2009 FLTRSE CVO 2011 FLTRUSE CVO 2012 FLTRXSE CVO 2013 FLTRXSE2 CVO ROAD KING CVO 2013 FLHRSE5 AUDIO & GAUGES Boom!TM Audio '06-'13 Touring BOOM!TM AUDIO AMPLIFIER KITS Take your music to the streets. Boom!TM Audio Amplifier Kits allow you to crank up the volume with significantly less distortion. The amplifier provides more power than Original Equipment radio alone resulting in increased volume fuller sound reproduction reduced clipping and lower Total Harmonic Distortion (THD) than head unit alone. When teamed with Boom! Audio Speakers the Boom! Amplifier provides 50% louder (6dB) system output than other popular aftermarket systems at the same volume setting. The systemmatched high-output signal features optimized sound equalization for crisp clear vocals and maximum bass response and the strong midrange response cuts through wind and road noise. The amplifier features 40-watt/channel (160-watt total) output. Kit includes all mounting hardware. 76000070 Fairing Amp. $409.95 Fits '06-'09 FLHT '06-'13 FLHX and '10 FLHXSE models. Not for use with SiriusXM Satellite Radio Kit P/N 76404-06 Bike-to-Bike Communication Kit P/N 76416-06C or TourPak luggage. Requires separate purchase of appropriate Wiring Harness. Models equipped with iPod Interface P/N 76476-10 require separate purchase of iPod Relocation Kit P/N 76000238. Dealer Digital TechnicianTM software update is required. Dealer installation is recommended. 76000169 Fairing Amp. $409.95 Fits '06-'13 Road Glide models (except FLTRUSE and FLTRXSE). All models (except FLTRU) require separate purchase of appropriate Wiring Harness. Dealer Digital Technician software update is required. Dealer installation is recommended. 76000068 Tour-Pak Amp. $409.95 Fits '06-'13 Touring models (except FLTRUSE and FLTRXSE) equipped with an Advanced Audio Radio and rigid-mount Tour-Pak luggage system. Requires installation of appropriate Wiring Harness. Dealer Digital Technician software update is required. Dealer installation is recommended. B. BOOM! AUDIO SPEAKER EXPANSION KIT Add more Boom! to your bike. This kit permits the addition of a third and fourth pair of speakers to your Boom! Audioequipped Touring bike. Choose a combination of Boom! Audio Saddlebag Lid Speakers Fairing Lower Speakers and/or Rear Speaker Pods (sold separately) to build a sound system custom-designed to your audio demands. System also provides speaker fade capabilities between fairing and nonfairing mounted speakers for highway riding when it's needed most. You can upgrade your system all at once or one set of speaker options at a time. Kit includes 100-watt/channel (200-watts total) saddlebag-mounted amplifier amplifier cover mounting bracket and the required installation hardware and wiring harness. BOOM!TM AUDIO BOOM! BAGGER AMP & SPEAKER KITS 4-SPEAKER ULTRA BOOM! BAGGER KIT Kit includes Boom! Audio fairing and rear speakers the Bass Booster Port Kit and the Boom! Audio Tour-Pak-mounted Amplifier. Boom! Audio speakers feature a two-year warranty. BOOM! AUDIO BOOM! BAGGER KIT ULTRA 4-SPEAKER KIT 2-SPEAKER STREET GLIDE BOOM! BAGGER KIT Kit includes Boom! Audio fairing speakers and Boom! Audio Fairing Mount Amplifier. Boom! Audio speakers feature a twoyear warranty. Boom!TM Audio '06-'13 Touring Available exclusively for models equipped with the HarleyDavidson Advanced Audio System by Harman/Kardon. The iPod interface allows you to access your iPod playlists artists songs and albums while you keep your hands on the handlebar. At the touch of your fingertips you can use the factory audio hand controls to scan through the iPod menus and view the selections on the radio face. The module mounts directly to the radio and is concealed inside the fairing for a clean look. Just plug in your iPod nano iPod Touch or iPhone and hit the road. Kit includes a powered iPod cable that charges your player when it is connected to the system and the bike is turned on. The iPod can be remotely stored in the saddlebag with the separate purchase of Saddlebag iPod Holder P/N 76000143. IPOD INTERFACE SIRIUSXM SATELLITE RADIO KIT* Don't lose the radio reception in the middle of your favorite song. SiriusXM Satellite Radio allows you to listen to the same channel as you cross the country. With over 170 digital channels you'll always find a program that satisfies your taste for music news entertainment and sports. Your radio display provides information regarding artist name song title and channel information so you will always know what program you are listening to. 15 channel presets allow you to quickly access your favorite programming. Activation and monthly subscription service required with additional fee., Harley Davidson,  , , , Title, Default Title, , , , , 76404-06, ,,,,,348.46,409.95
road-tech-navigation-interface-module-76408-06, ROAD TECH NAVIGATION INTERFACE MODULE  , Available exclusively for Harley-Davidson Road Tech zu mo Navigation Systems. The Navigation Interface Module will provide an integrated link between the fairing-mounted Advanced Audio Radio and a Road Tech zu mo 590 660 or 665 GPS Navigator. When linked the music volume will automatically drop when a GPS spoken command is detected allowing you to hear the instructions through the radio speakers or the 7-pin communications-style headset. The module attaches directly to the radio and is concealed within the fairing. Kit includes adaptor cable that permits stereo sound from the zu mo unit's internal MP3 player or SiriusXM Radio if connected into radio's AUX input., Harley Davidson,  , , , Title, Default Title, , , , , 76408-06, ,,,,,144.46,169.95
cb-antenna-kit-tour-pak-mount-76410-09, CB ANTENNA KIT TOUR-PAK MOUNT  , AM/FM Antenna Kit Tour-Pak Mount Antenna Kit Tour-Pak Mount Antenna Kit Frame Mount Will enable the installation of a CB antenna on the right side of a fender. Kit includes CB antenna and mounting brackets., Harley Davidson,  , , , Title, Default Title, , , , , 76410-09, ,,,,,76.46,89.95
boom!-audio-fairing-lower-speaker-kit-76418-06, BOOM! AUDIO FAIRING LOWER SPEAKER KIT , BOOM! AUDIO FAIRING LOWER SPEAKER KIT BOOM! AUDIO REAR SPEAKER POD KIT* Add concert-hall sound to your motorcycle. Boom! Audio Rear Speaker Pod Kit includes Boom! Audio High Performance rear speakers rear speaker pods and passenger controls for rear headset volume CB PTT and radio tuning. For even more bass performance add the Boom! Audio Bass Booster Tour-Pak Port Kit P/N 76000013 (sold separately). Boom! Audio speakers feature a two-year warranty. BOOM! AUDIO REAR SPEAKER POD KIT BOOM! AUDIO BASS BOOSTER TOUR-PAK PORT KIT This Bass Booster Port Kit provides significant improvements in bass response without adding a subwoofer and has no impact on useable Tour-Pak carrier cargo capacity. When installed the open port permits the speaker pod to breathe reducing the compression effect that limits speaker cone travel. You hear a 21% increase in bass response for better sound with a fuller bottom end and an 82% reduction in peak distortion for accurate bass reproduction. Noticeable improvement is gained with both Original Equipment and Boom! Audio High Performance Speakers. The kit contains black-anodized aluminum ports stainless steel audio-transparent grills and unique Sound Sealing technology to give you that Boom! you were looking for., Harley Davidson,  , , , Title, Default Title, , , , , 76418-06, ,,,,,76.46,89.95
dyna-76456-06, DYNA , Boom!TM Audio '06-'13 Touring Available exclusively for models equipped with the HarleyDavidson Advanced Audio System by Harman/Kardon. The iPod interface allows you to access your iPod playlists artists songs and albums while you keep your hands on the handlebar. At the touch of your fingertips you can use the factory audio hand controls to scan through the iPod menus and view the selections on the radio face. The module mounts directly to the radio and is concealed inside the fairing for a clean look. Just plug in your iPod nano iPod Touch or iPhone and hit the road. Kit includes a powered iPod cable that charges your player when it is connected to the system and the bike is turned on. The iPod can be remotely stored in the saddlebag with the separate purchase of Saddlebag iPod Holder P/N 76000143. IPOD INTERFACE SIRIUSXM SATELLITE RADIO KIT* Don't lose the radio reception in the middle of your favorite song. SiriusXM Satellite Radio allows you to listen to the same channel as you cross the country. With over 170 digital channels you'll always find a program that satisfies your taste for music news entertainment and sports. Your radio display provides information regarding artist name song title and channel information so you will always know what program you are listening to. 15 channel presets allow you to quickly access your favorite programming. Activation and monthly subscription service required with additional fee., Harley Davidson,  , , , Title, Default Title, , , , , 76456-06, ,,,,,424.96,499.95
